dataset,model,alpha,warmstart_points,warm_n,warm_mean_iters,warm_median_iters,warm_std_iters,rand_n,rand_mean_iters,rand_median_iters,rand_std_iters,delta_mean_warm_minus_rand,delta_median_warm_minus_rand
P3HT_dataset,GPR,0.5,27,1.0,78.0,78.0,0.0,1.0,33.0,33.0,0.0,45.0,45.0
P3HT_dataset,GPR,0.5,30,1.0,60.0,60.0,0.0,1.0,56.0,56.0,0.0,4.0,4.0
P3HT_dataset,GPR,0.5,45,2.0,31.0,31.0,11.0,2.0,41.0,41.0,6.0,-10.0,-10.0
P3HT_dataset,GPR,0.5,47,1.0,42.0,42.0,0.0,1.0,17.0,17.0,0.0,25.0,25.0
P3HT_dataset,GPR,0.5,49,1.0,26.0,26.0,0.0,1.0,32.0,32.0,0.0,-6.0,-6.0
P3HT_dataset,GPR,0.5,50,1.0,43.0,43.0,0.0,1.0,50.0,50.0,0.0,-7.0,-7.0
P3HT_dataset,GPR,0.5,51,1.0,51.0,51.0,0.0,1.0,22.0,22.0,0.0,29.0,29.0
P3HT_dataset,GPR,0.5,54,1.0,3.0,3.0,0.0,1.0,33.0,33.0,0.0,-30.0,-30.0
P3HT_dataset,GPR,0.5,55,1.0,34.0,34.0,0.0,1.0,17.0,17.0,0.0,17.0,17.0
P3HT_dataset,GPR,0.5,58,1.0,34.0,34.0,0.0,1.0,39.0,39.0,0.0,-5.0,-5.0
P3HT_dataset,GPR,0.5,60,1.0,22.0,22.0,0.0,1.0,52.0,52.0,0.0,-30.0,-30.0
P3HT_dataset,GPR,0.5,61,1.0,19.0,19.0,0.0,1.0,52.0,52.0,0.0,-33.0,-33.0
P3HT_dataset,GPR,0.5,62,1.0,5.0,5.0,0.0,1.0,73.0,73.0,0.0,-68.0,-68.0
P3HT_dataset,GPR,0.5,67,1.0,13.0,13.0,0.0,1.0,38.0,38.0,0.0,-25.0,-25.0
P3HT_dataset,GPR,0.5,68,1.0,15.0,15.0,0.0,1.0,70.0,70.0,0.0,-55.0,-55.0
P3HT_dataset,GPR,1.0,27,1.0,79.0,79.0,0.0,1.0,38.0,38.0,0.0,41.0,41.0
P3HT_dataset,GPR,1.0,30,1.0,63.0,63.0,0.0,1.0,56.0,56.0,0.0,7.0,7.0
